"","CODE","SEC_NAME","IPO_DATE","EXCH_CITY","MKT","TRADE_CODE","COMPINDEX2","CONCEPT","SHSC","INDUSTRY_GICS","INDUSTRY_GICSCODE","INDEXCODE_WIND","INDUSTRY_SW","INDUSTRY_SWCODE","INDEXCODE_SW","INDUSTRY_CITIC","INDUSTRY_CITICCODE","TOTAL_SHARES","FLOAT_A_SHARES","HOLDER_TOP10PCT","HOLDER_CONTROLLER","HOLDER_TOTALBYINST","HOLDER_TOTALBYFUND","HOLDER_TOTALBYBYSEC","HOLDER_NUM","HOLDER_AVGNUM","HOLDER_AVGPCT","HOLDER_HAVGPCTCHANGE","HOLDER_QAVGPCTCHANGE","CLOSE","PCT_CHG_PER"
"2359","600760.SH","中航黑豹",35349,"上海","主板","600760","否","央企;超涨","否","工业","20",NA,"国防军工","1000012579000000","801740.SI","国防军工","b10c000000000000",344940390,344940390,NA,"中国航空工业集团公司",87968667,9410076,NA,63364,5443.79126949056,0.0157818328589201,-16.0390758159207,-12.9631967678808,17.5,5.23150932050511
"2360","600761.SH","安徽合力",35347,"上海","主板","600761","否","融资融券标的;预减","是","工业","20",NA,"机械设备","6107000000000000","801890.SI","机械","b10a000000000000",616817335,616817335,NA,"安徽省国有资产监督管理委员会",309471461,49346059,NA,33175,18592.8360211002,0.0301431808620691,17.0067822155237,18.3722682743029,12.73,5.73089700996678
"2361","600763.SH","通策医疗",35368,"上海","主板","600763","否","二胎政策;民营医院;质押式回购;高送转","否","医疗保健","35",NA,"医药生物","6115000000000000","801150.SI","医药","b10i000000000000",160320000,160320000,NA,"吕建明",98816085,41685588,NA,7716,20777.6049766718,0.129600822925568,25.7387247278383,6.60964230171075,110.36,0
"2362","600764.SH","中电广通",35373,"上海","主板","600764","否","央企;超涨","否","信息技术","45",NA,"计算机","1000012601000000","801750.SI","通信","b10q000000000000",329726984,329726984,NA,"国务院国有资产监督管理委员会",193570806,3312322,NA,19113,17251.4510542563,0.052320409566164,4.64082038403182,4.35305812797573,19.41,11.2320916905444
"2363","600765.SH","中航重机",35375,"上海","主板","600765","否","央企;高端装备制造;3D打印;国家队;证金概念;融资融券标的;超涨","是","工业","20",NA,"机械设备","6107000000000000","801890.SI","国防军工","b10c000000000000",778003200,778003200,NA,"中国航空工业集团公司",407931744,59826717,NA,69108,11257.7878103837,0.0144701050594449,16.1703420732766,-14.0345546101754,22.49,-0.968736239542067
"2364","600766.SH","园城黄金",35366,"上海","主板","600766","否","黄金珠宝;举牌;超涨","否","材料","15",NA,"有色金属","6105000000000000","801050.SI","有色金属","b103000000000000",224226822,223932072,NA,"徐诚惠",78722100,NA,NA,18881,11860.1807107674,0.0529632978141308,-51.5015094539484,0,16.05,-0.0622665006226431
"2365","600767.SH","运盛医疗",35384,"上海","主板","600767","否","智慧医疗;超跌","否","医疗保健","35",NA,"房地产","6118000000000000","801180.SI","房地产","b10n000000000000",341010182,340910182,NA,"钱仁高",102303935,14561970,NA,28898,11797.0164717281,0.0346044711768627,3.99681638867742,29.5349159111357,13.62,0
"2366","600768.SH","宁波富邦",35380,"上海","主板","600768","否","舟山新区;举牌;超涨","否","材料","15",NA,"有色金属","6105000000000000","801050.SI","有色金属","b103000000000000",133747200,133747200,NA,"宋汉平;华声康等15名自然人",64142351,NA,NA,11695,11436.2719110731,0.0855066254734993,27.0457460453185,14.8781530568619,25.48,42.8251121076233
"2367","600769.SH","祥龙电业",35370,"上海","主板","600769","否","重组;举牌;超涨;预减","否","公用事业","55",NA,"公用事业","6116000000000000","801160.SI","电力及公用事业","b104000000000000",374977200,374977200,NA,"武汉东湖新技术开发区管理委员会",109884761,1946004,NA,22490,16673.063583815,0.0444642044603825,9.71987550022233,0.742552245442418,11.57,24.8112189859763
"2368","600770.SH","综艺股份",35389,"上海","主板","600770","否","新能源;太阳能发电;核高基;网络游戏;网络彩票;创投;芯片国产化;国家队;融资融券标的;超涨;超跌","否","工业","20",NA,"综合","6123000000000000","801230.SI","综合","b10t000000000000",1.3e+09,1104600000,NA,"昝圣达",409539684,17655928,NA,59579,18540.0896288961,0.0167844370007515,-7.48082378019101,-3.78824753688382,13.95,13.9705882352941
"2369","600771.SH","广誉远",35374,"上海","主板","600771","否","融资融券标的;超涨","否","医疗保健","35",NA,"医药生物","6115000000000000","801150.SI","医药","b10i000000000000",277808438,243808438,NA,"郭家学",30918385,7648778,NA,15018,12635.5155813024,0.0665867626667023,12.1654015181782,8.21014782261287,31.98,10.1239669421488
