"","ErrorCode","Data.CODE","Data.LASTTRADE_DATE","Data.LASTDELIVERY_DATE","Data.DLMONTH","Data.LPRICE","Data.SCCODE","Data.MARGIN","Data.PUNIT","Data.CHANGELT","Data.MFPRICE","Data.CONTRACTMULTIPLIER","Data.CDMONTHS","Data.THOURS","Data.LTDATED","Data.DDATE","Data.FTMARGINS","Data.TRADE_HISCODE","Data.CLOSE","Data.TURN","Data.OI","Data.OI_CHG","Data.PCT_CHG_SETTLEMENT","Data.DISCOUNT_RATIO","Data.DISCOUNT","Data.HIS_CLOSE","Data.HIS_OPEN","Data.HIS_HIGH","Data.HIS_LOW","Data.HIS_SETTLE","Data.HIS_PRESETTLE","Data.HIS_AVGPRICE","Data.HIS_CHANGE","Data.HIS_CHANGE_SETTLEMENT","Data.HIS_PCTCHANGE","Data.HIS_PCTCHANGE_SETTLEMENT","Data.HIS_SWING","Data.HIS_VOLUME","Data.HIS_TURNOVER","Data.HIS_OI","Data.HIS_OICHANGE","Data.ST_STOCK","Data.US_PRECLOSE","Data.US_OPEN","Data.US_HIGH","Data.US_LOW","Data.US_CLOSE","Data.US_AVGPRICE","Data.US_CHANGE","Data.US_PCTCHANGE","Data.US_TURN","Data.US_VOLUME","Data.US_AMOUNT","Data.US_SWING","Data.TBF_CVF2","Data.TBF_CVF","Data.TBF_IRR","Data.TBF_INTEREST","Data.TBF_PAYMENT","Data.TBF_DELIVERPRICE","Data.TBF_INVOICEPRICE","Data.TBF_SPREAD","Data.TBF_BASIS","Data.TBF_CTD","Time"
"532",0,"GNFN17E.CME",42948,0,"201707",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFN17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"533",0,"GNFQ16E.CME",42612,0,"201608",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFQ16E.CME",127.25,NA,NA,NA,NA,NA,NA,127.25,127.25,128.05,127.25,127.25,NA,NA,0,0,0,0,0.628683693516708,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"534",0,"GNFQ17E.CME",42976,0,"201708",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFQ17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.6,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"535",0,"GNFU16E.CME",42647,0,"201609",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFU16E.CME",128.5,NA,NA,NA,NA,NA,NA,128.5,128.5,128.5,128.5,128.5,NA,NA,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"536",0,"GNFU17E.CME",43011,0,"201709",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFU17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"537",0,"GNFV16E.CME",42675,0,"201610",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFV16E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.5,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"538",0,"GNFV17E.CME",43039,0,"201710",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFV17E.CME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"539",0,"GNFX15E.CME",42339,0,"201511",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFX15E.CME",106,NA,NA,NA,NA,NA,NA,106,109.5,109.55,105.5,105.625,NA,NA,0.375,0,0.355029585798817,0,3.83431952662722,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"540",0,"GNFX16E.CME",42703,0,"201611",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFX16E.CME",130,NA,NA,NA,NA,NA,NA,130,130,130,130,130,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
"541",0,"GNFZ15E.CME",42367,0,"201512",NA,"CME脱脂牛奶",NA,"磅",NA,"1美分/磅",4400,"1,2,3,4,5,6,7,8,9,10,11,12","NaN","NaN",NA,NA,"GNFZ15E.CME",108.775,NA,NA,NA,NA,NA,NA,108.775,112.5,112.5,108.775,108.775,NA,NA,0,0,0,0,3.42450011491611,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-11-24 20:25:56
